Gender,Age,12th marks %,rural/ urban area,Were you prepared to take this course based on prior coursework?,Average Weekly Time Spent,Average Course Outcome Level,Average Effort in Course Outcomes,Average Satisfaction,Stratergies,Average Marks Given,Low mark reason,Faculty Concern,Outside help,Your overall feedback
0,1,46,1,1,5.5,5.5,6.75,1.75,3.75,2.25,3.0,0.0,0.0,0
0,2,8,1,1,0.5,5.75,4.0,0.5,3.75,1.5,3.0,1.0,1.0,0
0,2,9,1,1,1.5,3.5,4.0,1.5,1.25,2.0,3.0,1.0,0.0,0
1,2,32,1,0,1.0,3.75,10.0,3.0,2.75,1.25,0.75,0.25,0.25,1
0,2,87,1,0,2.25,5.75,5.25,1.0,3.75,2.25,1.0,0.0,0.0,0
1,4,80,1,1,2.0,5.75,9.0,0.0,3.75,2.25,1.0,0.0,0.0,1
0,2,61,1,1,2.0,5.75,9.0,0.0,3.75,2.25,1.0,1.0,0.0,0
1,3,23,0,0,1.0,5.75,7.0,2.0,3.75,3.25,1.0,1.0,1.0,0
0,2,31,0,0,1.5,3.5,5.0,2.0,3.25,2.25,3.0,1.0,1.0,0
0,2,48,1,0,1.0,0.75,4.0,0.0,2.75,3.25,1.0,0.0,0.0,0
0,2,62,0,1,1.0,4.75,6.0,0.0,2.75,2.25,1.0,1.0,1.0,1
1,2,43,1,1,3.0,5.5,5.0,2.0,3.5,1.25,1.0,0.5,0.0,1
1,2,68,1,0,0.0,2.75,0.0,0.0,3.75,3.25,1.0,1.0,0.0,0
0,3,38,1,0,1.0,5.75,7.0,1.0,3.75,2.25,1.0,1.0,1.0,0
1,2,49,1,0,2.0,4.75,9.0,0.0,3.75,2.25,3.0,0.0,0.0,0
0,2,75,1,0,2.0,4.75,8.75,2.0,3.75,3.25,1.0,1.0,1.0,0
1,2,65,1,1,0.0,4.75,0.0,2.0,2.75,2.25,3.0,1.0,1.0,0
0,3,71,1,0,2.0,4.75,6.0,2.0,3.75,2.25,1.0,1.0,0.0,1
